i,c,n,s
1000236170,54204,HS#CCB  RC2608A,6390
1000299170,54205,UB#POMRTRC2702A,16593
1000276432,54206,UB#SMIC RP2703G,16643
1000305957,54211,CI#HSI  RP28118,3025
1000305907,54214,CI#HSI  RP2811V,3043
1000290870,54219,SG#HSI  RP2803M,13894
1000290936,54223,SG#HSI  RP28047,13914
1000291001,54225,SG#HSI  RP28048,13915
1000305853,54227,CI#HSI  RP28113,3023
1000264718,54228,GJ#HSI  RC27129,5441
1000305800,54238,CI#HSI  RP2807Y,2998
1000291002,54241,SG#HSI  RP2804C,13919
1000302033,54245,JP#HSBC RC2810B,9054
1000259855,54254,BP#HSI  RC29018,1518
1000299270,54257,JP#SMIC RC2610C,9496
1000281739,54262,SG#AIA  RP2812F,13330
1000305801,54263,DS#HSI  RP2804S,4885
1000305959,54264,DS#HSI  RP2804C,4878
1000259931,54265,HS#HSI  RC27102,6533
1000259882,54266,HS#HSI  RC27103,6534
1000290928,54267,CT#HSI  RP2804A,4170
1000236271,54268,JP#MTUANRP2709E,9394
1000236290,54269,JP#MTUANRP2709F,9395
1000236252,54270,JP#MTUANRP2709G,9396
1000299224,54272,JP#AIA  RP2810C,8874
1000281829,54274,SG#BAIDURC2611B,13376
1000305909,54275,DS#HSI  RP2804U,4886
1000236253,54276,JP#HKEX RP2709B,9023
1000290802,54278,CT#HSI  RP2802V,4154
1000290929,54279,CT#HSI  RP28029,4143
1000305855,54280,DS#HSI  RP28043,4873
1000290995,54281,JP#HSI  RP2812Y,9239
1000259858,54288,HS#HSI  RC27105,6535
1000276334,54289,UB#HSI  RP2808W,16264
1000276256,54291,UB#HSI  RP2808X,16265
1000276479,54299,UB#HSI  RP2808Y,16266
1000236317,54300,BP#HKEX RP2707I,1369
1000271659,54309,SG#TRIP RP2812B,14311
1000299195,54312,HU#POMRTRC2608C,7746
1000305851,54316,BP#HSI  RP2903K,1646
1000305806,54317,BP#HSI  RP2903Q,1652
1000276335,54319,UB#SMIC RP2704A,16644
1000259941,54320,GJ#HSI  RC27117,5416
1000276257,54321,UB#KUASORP2804G,16465
1000264699,54322,BP#MTUANRP2803A,1732
1000219623,54323,UB#HSI  RC2612X,15924
1000276480,54326,UB#KUASORP2807B,16468
1000264730,54328,MS#HSI  RC2708W,11810
1000264758,54331,MS#HSI  RC2708X,11811
1000305964,54332,BP#HSI  RP2903R,1653
1000276336,54333,UB#CCB  RP2706B,15679
1000305905,54338,BP#HSI  RP2903S,1654
1000290935,54340,JP#ZIJINRP2811B,9629
1000281750,54342,HS#HSI  RP2808K,6711
1000281795,54344,HS#HUAHORC2607B,6780
1000260058,54351,SG#HSI  RC2712K,13765
1000260032,54352,SG#HSI  RC2712L,13766
1000290897,54353,JP#HSI  RP28124,9216
1000260059,54356,SG#HSI  RC2712M,13767
1000290838,54362,JP#HSI  RP28128,9220
1000299189,54365,BP#POMRTRC2706A,1759
1000260033,54366,SG#HSI  RC2712N,13768
1000271764,54370,HS#CNOOCRC2612C,6413
1000291025,54371,JP#HSI  RP2812J,9229
1000260052,54374,CI#HSI  RC28093,2905
1000290839,54375,JP#HSI  RP2812T,9234
1000260027,54376,CI#HSI  RC2802M,2870
1000305923,54378,MS#HSI  RP2812Q,11948
1000259973,54379,BP#HSI  RC2903A,1541
1000264757,54380,JP#HSCEIRC2709D,9063
1000305872,54381,MS#HSI  RP2812R,11949
1000290965,54382,JP#HSI  RP2812V,9236
1000291026,54384,JP#HSI  RP2812Z,9240
1000305819,54385,MS#HSI  RP2811C,11932
1000290899,54387,JP#HSI  RP28125,9217
1000290869,54391,JP#HSI  RP28126,9218
1000305864,54396,CT#HSI  RP2802E,4146
1000291119,54402,BI#HSI  RP2803R,471
1000291179,54406,BI#HSI  RP28032,447
1000276338,54407,CI#HSI  RP2808G,3003
1000291060,54411,BI#HSI  RP28035,449
1000236503,54412,UB#MTUANRP2712L,16499
1000291240,54413,BI#HSI  RP28036,450
1000281846,54414,JP#HUAHORC2607D,9327
1000291120,54417,BI#HSI  RP28037,451
1000271773,54418,JP#MTUANRP2807B,9414
1000236416,54419,UB#HKEX RP2707D,15801
1000271774,54423,JP#MTUANRC2703A,9392
1000236417,54426,UB#HSTECRP2712D,16372
1000276260,54428,CI#HSI  RP2808H,3004
1000295442,54430,BP#HSBC RP2701B,1392
1000276483,54440,CI#HSI  RP2808I,3005
1000236420,54441,UB#HSCEIRP2712A,15857
1000295403,54442,BP#CNOOCRC2806E,1356
1000259960,54445,JP#CITSERC2708C,8971
1000295498,54448,BP#BYD  RC2608C,1335
1000291123,54452,DS#HSI  RP2803F,4859
1000283985,54453,HS#LIAUTRP2807A,6826
1000291183,54455,DS#HSI  RP2803H,4861
1000291064,54456,DS#HSI  RP2803O,4865
1000276183,54459,CI#HSI  RP2808J,3006
1000276339,54460,CI#HSI  RP2808K,3007
1000305878,54463,JP#HSI  RP29035,9284
1000305829,54464,JP#HSI  RP29036,9285
1000276261,54465,CI#HSI  RP2808L,3008
1000260014,54466,UB#HSI  RC2707S,15944
1000291244,54472,DS#HSI  RP2803I,4862
1000305830,54478,JP#HSI  RP2902F,9266
1000291065,54481,GJ#HSI  RP2804Q,5507
1000291245,54482,GJ#HSI  RP2804S,5509
1000236560,54483,UB#TRIP RP2708B,16706
1000291125,54484,GJ#HSI  RP28046,5487
1000260015,54485,UB#CLIFERC2808A,15695
1000236403,54487,SG#JDCOMRP2712E,14081
1000259989,54488,UB#CLIFERC2808B,15696
1000259964,54490,UB#CLIFERC2808C,15697
1000305880,54495,JP#HSI  RP29027,9258
1000305831,54497,JP#HSI  RP2902A,9261
1000302306,54502,UB#HSBC RC2811A,15842
1000260040,54503,UB#CLIFERC2808D,15698
1000236407,54504,SG#ICBC RC2710A,14067
1000302268,54505,UB#HSBC RC2811B,15843
1000305934,54507,JP#HSI  RP2902C,9263
1000276484,54508,CI#HSI  RP2809B,3012
1000291072,54509,MS#HSI  RP2803R,11899
1000236451,54510,SG#BOCL RC2710A,13390
1000276184,54511,CI#HSI  RP2809C,3013
1000302229,54512,UB#HSBC RC2811C,15844
1000276340,54516,CI#HSI  RP2809D,3014
1000288266,54517,BP#KUASORP2804G,1722
1000291252,54518,MS#HSI  RP2804O,11914
1000288378,54519,BP#KUASORP2804H,1723
1000271970,54522,BI#POMRTRP2808G,517
1000305928,54528,GJ#HSI  RP28117,5519
1000260021,54530,UB#HKEX RC2709N,15789
1000236543,54531,SG#CCB  RC2709B,13443
1000264938,54533,SG#HSI  RC2802U,13798
1000299155,54537,SG#XIAMIRP28122,14328
1000260046,54538,UB#CITSERC2708C,15688
1000260022,54539,UB#NTES RC2612A,16549
1000259996,54540,UB#NTES RC2612B,16550
1000299243,54541,SG#TENCTRC2612G,14253
1000302221,54542,JP#HUAHORC2711A,9344
1000299199,54546,SG#ICBC RC2808E,14073
1000271801,54547,UB#BYD  RC2610D,15616
1000260023,54548,UB#HSI  RC2707U,15946
1000259997,54549,UB#HSI  RC27071,15925
1000305875,54556,GJ#HSI  RP28118,5520
1000264846,54560,SG#XIAMIRP2812T,14355
1000236572,54562,HS#MTUANRP2712D,6840
1000247933,54566,SG#C MOBRC2809A,13422
1000291087,54571,JP#TENCTRP2812G,9562
1000305981,54572,HU#YOFC RP2712B,7768
1000305929,54573,HU#KUASORC2610F,7736
1000271919,54577,UB#POMRTRP2807H,16603
1000271977,54579,UB#JDCOMRC2805I,16444
1000291269,54580,JP#TENCTRP2812H,9563
1000264867,54581,DS#XIAMIRP2712B,4912
1000305827,54582,HU#MTUANRP2811A,7742
1000291209,54588,JP#CCB  RC2809A,8965
1000302266,54594,SG#BYD  RP2812A,13403
1000260028,54596,HS#HSI  RC27107,6536
1000291210,54600,JP#HSI  RP2812A,9221
1000291089,54601,JP#HSI  RP2812B,9222
1000302179,54603,HS#TENCTRC2702B,6932
1000291151,54604,JP#HSI  RP2812F,9226
1000291211,54605,JP#HSI  RP2812G,9227
1000302296,54607,HS#CATL RC2611E,6388
1000302258,54608,HS#C MOBRP2711A,6380
1000260001,54613,HS#HSI  RC27108,6537
1000302223,54614,JP#BYD  RP2810A,8943
1000247959,54615,SG#ALIBARC2607F,13340
1000305877,54616,HU#HSI  RP2811C,7725
1000260053,54618,HS#HSI  RC2710A,6538
1000305828,54621,HU#HSI  RP2811D,7726
1000236607,54622,JP#MTUANRP2712B,9402
1000305927,54626,BI#HSI  RP2804L,489
1000305991,54631,UB#HUAHORC2612E,16401
1000264943,54635,UB#XIAMIRP2612H,16733
1000305833,54642,UB#POMRTRC2706C,16595
1000291157,54645,SG#HSI  RP2804E,13921
1000291217,54646,SG#HSI  RP2802L,13860
1000291098,54647,SG#HSI  RP2803O,13896
1000291279,54648,SG#HSI  RP2804F,13922
1000291158,54649,SG#HSI  RP2803T,13901
1000291218,54653,SG#TENCTRP2812B,14284
1000302176,54661,BP#CATL RC2610F,1350
1000271872,54668,BP#POMRTRP2806H,1767
1000302452,54669,MS#TENCTRC2611D,12012
1000291143,54675,HU#HSI  RP2803T,7711
1000291202,54676,HU#HSI  RP2803U,7712
1000305945,54681,UB#HSI  RP2812X,16366
1000276214,54684,BP#HSI  RP2804B,1563
1000305893,54685,UB#TENCTRP2811K,16687
1000219921,54688,SG#LIAUTRP2612B,14103
1000299385,54689,BI#SMIC RC2612O,520
1000305840,54690,UB#MTUANRP2812Q,16525
1000276371,54691,BP#HSI  RP2804C,1564
1000260327,54693,SG#HSI  RC2802A,13782
1000299294,54698,BI#HUAHORC2612E,502
1000276292,54699,BP#HSI  RP2804P,1570
1000276516,54703,BP#HSI  RP2804V,1573
1000305999,54707,UB#YOFC RP2812B,16780
1000305946,54709,UB#YOFC RP2812C,16781
1000264853,54713,CT#XIAMIRP26122,4204
1000305895,54719,UB#HSI  RP2812Z,16368
1000305842,54721,UB#HSI  RP28121,16336
1000264821,54722,CT#HSI  RC2802Q,4121
1000236757,54726,HS#ICBC RC2710A,6797
1000291226,54730,UB#HSI  RP2804V,16230
1000291106,54731,UB#HSI  RP28119,16311
1000236810,54732,HS#CCB  RC2709A,6391
1000291167,54733,UB#HSI  RP28049,16209
1000260265,54734,SG#HSI  RC2802B,13783
1000276215,54736,BP#HSI  RP28047,1559
1000306001,54737,UB#HSI  RP2812H,16352
1000260138,54738,SG#HSBC RC2809A,13544
1000276372,54740,BP#HSI  RP2804J,1566
1000276293,54741,BP#HSI  RP2804K,1567
1000291047,54743,UB#HSI  RP2804B,16211
1000291227,54744,UB#ALIBARP2812F,15593
1000302503,54752,UB#TENCTRC2610M,16653
1000236823,54754,SG#HKEX RP2712A,13518
1000302410,54758,UB#CATL RC2610C,15663
1000305896,54759,HS#HSI  RP2902Z,6726
1000282209,54761,UB#TENCTRP2704A,16669
1000291229,54764,UB#HSI  RP2811A,16312
1000271883,54765,JP#POMRTRP2808N,9479
1000305844,54766,HS#HSI  RP2904A,6759
1000291109,54767,UB#HSI  RP2804N,16223
1000291177,54768,UB#HSI  RP2804S,16227
1000291057,54769,UB#HSI  RP2804T,16228
1000291237,54770,UB#HSI  RP2811E,16316
1000305791,54771,HS#HSI  RP29021,6714
1000276294,54774,BP#TENCTRP2807F,1807
1000260091,54776,HS#HSI  RC2710D,6539
1000260155,54777,HS#HSI  RC2803H,6601
1000276374,54780,BP#SMIC RP2712I,1782
1000282257,54788,UB#BAIDURC2612E,15601
1000305792,54794,HS#HSI  RP2904B,6760
1000236867,54799,JP#MTUANRP2712D,9403
1000291174,54802,CI#HSI  RP2805L,2976
1000236868,54803,JP#HKEX RP2707C,9021
1000236766,54804,JP#TRIP RP2708B,9567
1000291054,54807,CI#HSI  RP28055,2968
1000291234,54809,CI#HSI  RP2805F,2972
1000264924,54810,JP#XIAMIRP2805A,9589
1000271960,54812,SG#BYD  RP2812F,13406
1000248155,54820,JP#ALIBARC2607G,8880
1000291114,54821,CI#HSI  RP2812O,3055
1000282216,54822,JP#XIAMIRP2809E,9596
1000305793,54823,SG#HSI  RP29038,13983
1000305951,54824,SG#HSI  RP29024,13961
1000291175,54825,CI#HSI  RP2805G,2973
1000282217,54829,JP#XPENGRP2805E,9616
1000236886,54831,UB#HKEX RP2707F,15802
1000236900,54832,UB#MTUANRP2712M,16500
1000295491,54833,JP#POMRTRP2808R,9480
1000236901,54836,UB#HSCEIRP2712C,15858
1000282129,54837,JP#TENCTRP2810B,9545
1000236928,54838,UB#HSCEIRP2712D,15859
1000291115,54841,CI#HSI  RP2802C,2952
1000220115,54847,SG#HSBC RC2611A,13534
1000305900,54851,SG#HSI  RP28026,13845
1000291051,54856,BP#HSI  RP2812P,1604
1000291231,54858,BP#HSI  RP2812S,1606
1000291111,54859,BP#HSI  RP2812T,1607
1000291052,54862,BP#HSI  RP2812Z,1611
1000291232,54863,BP#HSI  RP28126,1597
1000282176,54868,SG#BAIDURC2611D,13377
1000305848,54871,SG#HSI  RP28038,13880
1000305795,54872,SG#HSI  RP2804R,13934
1000302371,54877,SG#CATL RC2611D,13438
1000282269,54881,SG#TENCTRP2812V,14304
1000282179,54885,SG#XIAMIRP2812L,14347
1000305849,54886,SG#HSTECRP2812Q,14037
1000282136,54888,SG#XPENGRP2812E,14363
1000260228,54889,BP#HSBC RC2803A,1380
1000299359,54898,UB#CLIFERC2808G,15701
1000272175,54899,SG#MTUANRP2812A,14124
1000299360,54901,UB#ICBC RC2807B,16420
1000299450,54902,UB#HSBC RC2809K,15840
1000305803,54908,SG#TENCTRC2612R,14257
1000272047,54914,UB#MTUANRC2702A,16492
1000291247,54918,HS#TENCTRP2608A,6934
1000291127,54919,HS#PINANRP2807C,6873
1000272135,54921,UB#BYD  RP2808A,15634
1000305804,54924,SG#MTUANRP2812V,14138
1000305962,54925,SG#YOFC RP2812B,14369
1000220243,54926,SG#HSI  RC2608G,13574
1000282102,54927,BP#HSTECRP2901L,1697
1000291187,54930,HS#ZIJINRP2807B,7019
1000282236,54931,BP#HSTECRP2901M,1698
1000291068,54933,HS#HSI  RP2804S,6703
1000291248,54934,HS#HSI  RP2804Y,6709
1000291128,54935,HS#HSI  RP28042,6681
1000220244,54946,UB#BYD  RC2608A,15615
1000291121,54947,CT#HSI  RP2803Z,4162
1000291180,54948,CT#HSI  RP28031,4157
1000306061,54956,DS#HSI  RP2802K,4842
1000306103,54958,DS#HSI  RP2802L,4843
1000295401,54959,MS#HSTECRC2609E,11968
1000260110,54963,UB#CNOOCRC26102,15715
1000282247,54969,HS#BAIDURC2608A,6345
1000282159,54970,HS#TENCTRP2812C,6960
1000306142,54971,DS#HSI  RC2810L,4829
1000282203,54972,HS#XIAMIRP2807C,6984
1000306022,54975,DS#HSI  RP2802X,4848
1000264995,54978,SG#HSI  RC2712Q,13770
1000264970,54984,SG#HSI  RC2807A,13813
1000302426,54987,HS#BYD  RP2811B,6365
1000260142,54990,UB#HSI  RC27087,15955
1000260206,54991,UB#HSI  RC2708L,15964
1000291495,54992,CI#HSI  RP2805D,2971
1000299365,54994,HS#CLIFERC2711A,6401
1000306059,54997,CI#HSI  RP28071,2980
1000260271,54998,UB#HSI  RC2708S,15968
1000276297,55000,BP#ALIBARP2805G,1322
1000306100,55001,CI#HSI  RP28072,2981
1000306140,55002,CI#HSI  RP28077,2983
1000306020,55003,CI#HSI  RP28078,2984
1000291359,55005,CI#HSI  RP2811S,3041
1000252904,55007,HS#XIAMIRP2711A,6977
1000237159,55009,SG#ALIBARC2607D,13338
1000220399,55013,SG#HSI  RC2608I,13575
1000306108,55024,MS#HSI  RP2812V,11952
1000276321,55029,BP#HSTECRP2901K,1696
1000291305,55030,BI#HSI  RP2803Q,470
1000306147,55033,MS#HSI  RP2812X,11954
1000220374,55037,JP#HSCEIRC2609B,9061
1000282287,55042,SG#BAIDURC2612A,13379
1000306029,55043,MS#HSI  RP28104,11921
1000282404,55047,SG#ZIJINRC2609D,14372
1000306069,55050,MS#HSI  RP2812S,11950
1000260128,55055,JP#AIA  RC2710F,8866
1000282330,55066,UB#XIAMIRP2809B,16744
1000306044,55075,JP#ALIBARC2612C,8884
1000299464,55077,SG#HSBC RC2803G,13541
1000282292,55079,UB#JDCOMRP2812A,16456
1000282408,55080,UB#XPENGRP2805F,16768
1000295505,55081,SG#MTUANRC2611C,14110
1000295364,55083,UB#PINANRP2804E,16584
1000291308,55084,BP#HSI  RP2812Y,1610
1000306084,55092,JP#AIA  RP2811C,8876
1000260308,55094,CT#HKEX RP2607F,4083
1000306006,55096,JP#MTUANRP2810H,9420
1000306046,55098,JP#ALIBARP2811D,8904
1000291309,55100,GJ#HSI  RP2804H,5498
1000237188,55104,JP#MTUANRP2711A,9399
1000260181,55107,CT#JDCOMRP2712B,4195
1000248362,55114,BP#C MOBRC2809C,1347
1000291314,55116,MS#MTUANRP2812A,11993
1000291516,55117,MS#KUASORP2812C,11980
1000264997,55118,UB#HSI  RC28026,16075
1000282420,55121,JP#BAIDURC2702A,8913
1000306005,55122,CT#HSI  RP2802I,4149
1000291517,55130,MS#BAIDURP2612C,11762
1000306007,55133,GJ#HSI  RP2811A,5522
1000306048,55134,GJ#HSI  RP2811F,5527
1000282305,55137,JP#TENCTRP2810C,9546
1000302401,55144,JP#CATL RC2609F,8955
1000284180,55151,BP#ZIJINRC2609C,1830
1000302496,55153,JP#TENCTRC2612G,9514
1000264989,55167,HS#HSI  RC2710Z,6545
1000306089,55174,UB#AIA  RP2812G,15551
1000291384,55175,MS#HSTECRP2812C,11974
1000282296,55181,BP#TENCTRP2807K,1810
1000282414,55182,BP#BAIDURC2607D,1332
1000306047,55189,BI#HSI  RP2804N,491
1000295367,55194,UB#JDCOMRC2805S,16446
1000282378,55195,HS#TENCTRP2811B,6955
1000272270,55202,HS#POMRTRP2711E,6886
1000295509,55203,UB#HKEX RC2804L,15797
1000282340,55204,HS#XPENGRP2807B,7009
1000260361,55205,SG#HSI  RC2802H,13788
1000260446,55208,SG#HSI  RC2802I,13789
1000272233,55210,HS#BYD  RP2812C,6369
1000295462,55211,UB#ZIJINRP2812H,16793
1000306096,55212,UB#HSI  RP2810E,16284
1000306017,55216,UB#HSI  RP2810J,16289
1000306097,55218,UB#HSI  RP2810P,16295
1000306018,55221,UB#HSI  RP28102,16272
1000302615,55223,MS#HSI  RP2810P,11925
1000306098,55224,UB#HSI  RP28104,16274
1000306138,55225,UB#HSI  RP28106,16276
1000306091,55231,BI#CATL RP2612A,376
1000306133,55232,BI#CATL RP2612B,377
1000248378,55237,SG#MTUANRP2712X,14116
1000306092,55238,BP#HSI  RP2903T,1655
1000306134,55239,BP#HSI  RP2903U,1656
1000306013,55240,BP#HSI  RP2903E,1640
1000260364,55244,UB#HSI  RC2802F,16081
1000265047,55247,JP#WUXI RC2708B,9576
1000260450,55248,UB#HSI  RC2802G,16082
1000272365,55250,DS#POMRTRP2806A,4908
1000306014,55253,BP#HSI  RP2903J,1645
1000306057,55255,BP#HSI  RP2903M,1648
1000272468,55258,SG#POMRTRP2812O,14203
1000237357,55260,MS#MTUANRP2712G,11986
1000260409,55261,UB#HUAHORC2611A,16394
1000276408,55262,HS#HSI  RP28032,6653
1000306094,55265,BP#HSI  RP2903O,1650
1000306136,55266,BP#HSI  RP29032,1628
1000306015,55269,JP#HSI  RP2902H,9268
1000306058,55271,JP#HSI  RP2902I,9269
1000291405,55272,JP#HSI  RP2811H,9207
1000291472,55274,JP#HSI  RP2811R,9212
1000306137,55275,JP#HSI  RP2902J,9270
1000291339,55278,JP#TENCTRP2811E,9554
1000295517,55279,HS#MTUANRC2612K,6830
1000282634,55281,MS#TENCTRP2808D,12020
1000284287,55289,CT#HSTECRP2812B,4190
1000295422,55290,HS#CATL RC2610B,6383
1000276553,55292,HS#HSI  RP28034,6655
1000306107,55293,JP#HSI  RP2902L,9271
1000295349,55302,HS#ALIBARC2711A,6320
1000265092,55305,DS#HSI  RC2707B,4812
1000295489,55306,HS#INBIORC2608B,6803
1000306145,55308,HS#HSI  RP2903N,6747
1000306025,55309,HS#HSI  RP2903O,6748
1000260440,55310,CT#HSI  RC2710M,4109
1000306065,55311,HS#HSI  RP2903Q,6750
1000276254,55312,HS#HSI  RP28044,6683
1000306106,55313,HS#HSI  RP2903P,6749
1000291340,55314,JP#ALIBARP2812J,8907
1000260452,55317,CT#CCB  RC2709B,4073
1000276409,55319,HS#HSI  RP28035,6656
1000306110,55322,SG#HSI  RP29025,13962
1000306150,55323,SG#HSI  RP2904T,14016
1000306031,55324,SG#HSI  RP29026,13963
1000248455,55329,MS#HSTECRP2612A,11969
1000306032,55335,SG#HSI  RP2904U,14017
1000306072,55336,SG#HSTECRP2812R,14038
1000306152,55343,SG#AIA  RP2812M,13333
1000306033,55345,SG#BYD  RP2812W,13412
1000260371,55348,HS#HSI  RC2712K,6564
1000260455,55349,HS#HSI  RC2712L,6565
1000265166,55350,HS#HSI  RC2711A,6551
1000299546,55356,BP#HSBC RC2805Q,1389
1000306113,55357,SG#HSI  RP29027,13964
1000306153,55358,SG#HSI  RP29043,13994
1000306034,55360,SG#HSI  RP29028,13965
1000284209,55363,JP#XPENGRP2805G,9618
1000306154,55365,SG#ALIBARP2810R,13370
1000302718,55366,CI#HSI  RP2808B,3000
1000282518,55369,JP#XPENGRP2805F,9617
1000306207,55375,DS#HSI  RP2902B,4896
1000306249,55378,DS#HSI  RP2902C,4897
1000306165,55380,CT#HSI  RP28045,4166
1000306209,55383,CT#HSI  RP2802Q,4152
1000291329,55389,HS#MTUANRP2808B,6849
1000306253,55390,UB#AIA  RC2810C,15544
1000276554,55391,HS#HSI  RP2804D,6691
1000291532,55392,HS#TENCTRP2808F,6946
1000291330,55402,HS#ALIBARP2808G,6331
1000306217,55410,UB#HKEX RP2812K,15816
1000306259,55411,UB#SMIC RP2812K,16646
1000306302,55412,UB#BYD  RP2812P,15640
1000306176,55413,UB#AIA  RP2812H,15552
1000295645,55414,MS#HSI  RP28028,11883
1000306218,55416,UB#ALIBARP2811G,15590
1000291535,55422,HS#HSI  RP2803C,6662
1000306304,55428,UB#HSI  RP2810A,16280
1000306178,55430,UB#HSI  RP2810B,16281
1000291400,55432,HS#HSI  RP2803F,6665
1000306220,55433,UB#HSI  RP2810C,16282
1000306262,55435,UB#HSI  RP2810D,16283
1000265105,55437,BP#GEELYRC2607A,1357
1000291469,55438,HS#HSI  RP2803G,6666
1000302559,55439,SG#HSI  RP29042,13993
1000302677,55441,SG#HSI  RP29041,13992
1000302736,55442,SG#CNOOCRP2705F,13479
1000306298,55448,BP#HSI  RP2904E,1673
1000306172,55449,BP#HSI  RP2904P,1682
1000260588,55450,UB#AIA  RC2610H,15542
1000306214,55453,BP#HSI  RP2904H,1675
1000306256,55457,BP#HSI  RP2904S,1685
1000306299,55459,BP#HSI  RP2904U,1687
1000291414,55461,UB#CSPC RC2711M,15735
1000295691,55465,JP#JDCOMRC2609B,9357
1000306215,55468,BP#HSI  RP2904B,1670
1000295591,55471,JP#ZIJINRP2810B,9627
1000237424,55478,UB#HSBC RC2704D,15822
1000306257,55479,BP#SMIC RP2812D,1783
1000237532,55481,UB#ICBC RC2708A,16417
1000265113,55485,JP#XIAMIRP2806A,9591
1000265307,55491,MS#HSBC RC2804B,11798
1000265199,55493,BI#HSI  RC2801E,441
1000265234,55494,BI#HSI  RC2801F,442
1000306258,55498,MS#HSI  RP2811D,11933
1000306301,55500,MS#HSI  RP28105,11922
1000306190,55501,MS#HSI  RP2811A,11931
1000306232,55502,MS#HSI  RP28108,11923
1000265306,55505,GJ#HSI  RC27124,5439
1000252896,55506,JP#JDCOMRP2802A,9363
1000276329,55511,HS#SMIC RP2801A,6911
1000295601,55515,CT#HSTECRC2609B,4187
1000295554,55524,CT#HSI  RP2802G,4148
1000306229,55525,JP#HSI  RP2902M,9272
1000306314,55530,JP#HSI  RP2902N,9273
1000302575,55532,GJ#HSI  RP28119,5521
1000306273,55540,JP#HSI  RP2902V,9277
1000260638,55542,SG#JDCOMRP2812F,14084
1000276412,55544,HS#TENCTRP2712T,6936
1000299560,55545,JP#XIAMIRC2702C,9583
1000272624,55550,UB#POMRTRP2808G,16609
1000288431,55556,MS#CLIFERP2804A,11771
1000291487,55557,UB#KUASORP2812C,16470
1000306223,55566,CI#HSI  RP2901B,3061
1000306265,55567,CI#HSI  RP2901C,3062
1000306307,55568,CI#HSI  RP2901D,3063
1000306181,55569,CI#HSI  RP2901E,3064
1000306269,55571,HU#HSI  RP2811E,7727
1000306311,55572,HU#HSI  RP2811F,7728
1000306186,55573,HU#TENCTRC2610C,7754
1000265205,55574,SG#HSI  RC2712J,13764
1000306270,55576,HU#ALIBARP2809B,7625
1000306312,55577,HU#TENCTRP2809D,7759
1000306267,55581,HS#HSI  RP2904C,6761
1000306226,55588,HS#HSI  RP2904D,6762
1000306268,55589,HS#HSI  RP2904E,6763
1000221001,55590,UB#HSI  RC2607B,15864
1000282590,55591,HS#TENCTRP2808A,6945
1000220964,55593,UB#HSI  RC2607G,15866
1000220983,55599,UB#HSI  RC2607W,15871
1000299539,55600,HS#XIAMIRC2612D,6971
1000260611,55603,HS#AIA  RC2710B,6304
1000306266,55604,GJ#HSI  RP2811M,5533
1000299471,55605,HS#TENCTRC2610N,6916
1000291353,55606,UB#MTUANRP2812C,16522
1000299505,55608,HS#XIAMIRP2811E,6997
1000306308,55616,GJ#HSI  RP2811Q,5537
1000291557,55617,UB#ALIBARP2812G,15594
1000306182,55618,GJ#HSI  RP28111,5514
1000306263,55623,BI#HSI  RP28047,481
1000291421,55624,UB#HKEX RP2812C,15813
1000221072,55629,SG#HSI  RC2607M,13569
1000221054,55630,SG#HSI  RC2607Q,13570
1000291489,55635,UB#TENCTRP2812I,16694
1000282495,55636,UB#TENCTRP2810D,16684
1000306234,55641,SG#HSI  RP2803P,13897
1000306276,55642,SG#HSI  RP2804U,13937
1000306318,55644,SG#HSI  RP29029,13966
1000306193,55645,SG#HSI  RP2804X,13940
1000221074,55648,UB#HSI  RC2608K,15884
1000291354,55649,UB#CLIFERP2805F,15705
1000306277,55650,SG#HSI  RP2902A,13967
1000282498,55651,UB#XPENGRP2805G,16769
1000221082,55652,UB#HSI  RC2608L,15885
1000221064,55653,UB#HSI  RC2612Q,15922
1000299660,55654,MS#CLIFERC2712A,11770
1000276456,55657,HS#KUASORP2712D,6815
1000291422,55661,UB#BAIDURP2812C,15609
1000306278,55662,SG#HSI  RP2904V,14018
1000299776,55663,MS#CLIFERC2612E,11769
1000299719,55665,MS#HSBC RC2812B,11801
1000306320,55667,SG#HKEX RP2812O,13525
1000306204,55668,SG#YOFC RP2812C,14370
1000299661,55670,MS#HSBC RC2803D,11796
1000265253,55678,JP#HSI  RC2804U,9130
1000306287,55680,SG#XIAMIRP2812O,14350
1000288435,55682,JP#XIAMIRP2810D,9603
1000306329,55683,SG#AIA  RP2812N,13334
1000282440,55685,SG#TENCTRP2812J,14292
1000306205,55686,SG#SMIC RP28129,14246
1000306247,55688,SG#AIA  RC2706A,13324
1000306288,55689,SG#TENCTRC2612U,14258
1000306330,55691,SG#AIA  RC2706B,13325
1000221124,55701,SG#HSI  RC2608F,13573
1000295573,55713,SG#CATL RC2609C,13431
1000295622,55715,SG#JDCOMRC2705B,14078
1000291506,55717,UB#HSI  RP2804A,16210
1000265281,55718,DS#HSI  RC2708A,4813
1000265210,55722,DS#HSI  RC2712D,4818
1000291370,55723,UB#HSI  RP2804C,16212
1000306502,55724,DS#HSI  RP2902F,4898
1000291438,55725,UB#HSI  RP28088,16241
1000265245,55728,DS#HSI  RC2710A,4816
1000291304,55729,UB#HSI  RP2808L,16253
1000291507,55730,UB#HSI  RP2804F,16215
1000302588,55731,HS#HSI  RP29023,6716
1000291439,55732,UB#HSI  RP2811O,16326
1000221138,55735,BP#HSI  RC2610Y,1403
1000272848,55737,BI#POMRTRP2808H,518
